Символ,Аналог,Описание
,,
(),,"подмаска, вложенное выражение"
[],,групповой символ
"{a,b}",,количество вхождений от «a» до «b»
|,,"логическое «или», в случае с односимвольными альтернативами используйте []"
\,,экранирование спец символа
.,,"любой сивол, кроме перевода строки"
\d,[0-9],десятичная цифра
\D,[^\d],"любой символ, кроме десятичной цифры"
\f,,конец (разрыв) страницы
\n,,перевод строки
\pL,,буква в кодировке UTF-8 при использовании модификатора u
\r,,возврат каретки
\s,[ \t\v\r\n\f],пробельный символ
\S,[^\s],"любой символ, кроме промельного"
\t,,табуляция
\w,[0-9a-z_],"любая цифра, буква или знак подчеркивания"
\W,[^\w],"любой символ, кроме цифры, буквы или знака подчеркивания"
\v,,вертикальная табуляция
